Name,T1,T2,incl,inclerror,q,qerror,r1,r2,R2
TIC 100796064,7080,4448,72.440,3.311,0.297,0.142,0.486,0.279,0.985
TIC 101070833,7007,5636,84.434,0.158,0.359,0.001,0.470,0.294,0.998
TIC 101582909,5667,5617,80.033,1.816,0.691,0.175,0.412,0.348,0.902
TIC 102178051,8980,5910,83.389,0.155,0.351,0.004,0.392,0.292,0.997
TIC 106309554,9620,6172,73.219,0.473,0.078,0.005,0.423,0.191,0.987
TIC 106349204,7768,5695,68.345,0.051,0.391,0.001,0.462,0.301,0.981
TIC 11002748,7721,5125,64.235,1.725,0.331,0.127,0.400,0.288,0.994
TIC 11177996,5178,4694,71.161,1.742,0.137,0.032,0.349,0.225,0.991
TIC 116163356,6499,5929,84.976,7.641,0.190,0.053,0.524,0.247,0.989
TIC 120569215,7850,5477,66.593,0.759,0.220,0.052,0.385,0.257,0.945
TIC 121092386,7139,5292,71.906,0.539,0.308,0.063,0.337,0.282,0.989
TIC 123311124,6812,5327,61.813,0.794,0.545,0.095,0.432,0.328,0.990
TIC 1233303929,6909,5046,71.885,0.677,0.241,0.040,0.302,0.264,0.997
TIC 123416563,6618,4250,87.303,3.077,0.172,0.033,0.433,0.240,0.995
TIC 125298121,6965,5276,76.656,0.596,0.255,0.008,0.499,0.268,0.981
TIC 126321739,8829,5492,71.398,2.053,0.301,0.142,0.384,0.281,0.958
TIC 126602778,8066,5362,75.195,1.877,0.520,0.119,0.375,0.324,0.993
TIC 128069821,7344,5731,70.591,0.153,0.778,0.021,0.400,0.358,0.984
TIC 134874392,8590,6942,66.424,0.420,0.424,0.036,0.453,0.307,0.989
TIC 135186325,7079,4711,85.050,0.450,0.231,0.002,0.484,0.261,0.999
TIC 137687487,6837,5189,71.356,2.614,0.490,0.208,0.432,0.319,0.998
TIC 138476641,5321,4181,72.449,0.047,0.991,0.025,0.265,0.379,0.999
TIC 139207681,6640,4996,78.026,0.177,0.756,0.031,0.355,0.355,0.966
TIC 139724460,6827,4757,85.117,3.197,0.125,0.003,0.559,0.219,0.997
TIC 139785230,9530,8800,81.418,2.619,0.703,0.154,0.395,0.349,0.742
TIC 140580579,6373,4457,83.363,9.429,0.170,0.089,0.533,0.239,0.994
TIC 141126559,8226,5094,89.367,0.690,0.346,0.003,0.472,0.291,0.999
TIC 141497301,8103,7260,67.683,0.490,0.946,0.059,0.304,0.375,0.980
TIC 144194304,6927,5739,84.049,0.104,0.407,0.001,0.458,0.304,0.977
TIC 144500485,6256,5492,74.485,5.274,0.124,0.078,0.557,0.219,0.992
TIC 144522855,6880,5169,68.293,0.162,0.376,0.016,0.347,0.298,0.998
