name,T1,T2,incl,inclerror,q,qerror,r1,r1error,r2,r2error,ecc,eccerror,f1,f2,R2
TIC 1021067547,8733,4373,85.245,0.951,0.634,0.118,0.121,0.007,0.057,0.007,0.003,0.002,0.288,0.169,0.986
TIC 10800647,7145,6362,87.464,1.545,0.379,0.049,0.329,0.003,0.195,0.002,0.008,0.001,0.709,0.653,0.984
TIC 115288764,6799,3991,84.644,5.254,0.265,0.061,0.313,0.029,0.112,0.02,0.007,0.001,0.63,0.41,0.998
TIC 115443990,7397,4711,88.332,1.711,0.19,0.097,0.386,0.003,0.228,0.009,0.004,0.003,0.736,0.919,0.999
TIC 116417661,6313,3715,87.323,1.285,0.642,0.077,0.166,0.007,0.063,0.003,0.004,0.002,0.398,0.184,0.996
TIC 116729038,8033,5002,76.628,1.768,0.018,0.001,0.319,0.02,0.088,0.007,0.006,0.001,0.461,0.72,0.994
TIC 119067714,6514,4334,80.846,0.79,0.289,0.028,0.222,0.009,0.057,0.004,0.006,0.003,0.454,0.206,0.967
TIC 121078334,7299,5643,72.832,2.687,0.047,0.048,0.427,0.032,0.109,0.012,0.002,0.012,0.674,0.658,0.962
TIC 121455954,6228,5925,80.106,4.584,0.223,0.058,0.352,0.025,0.124,0.018,0.001,0.012,0.688,0.478,0.953
TIC 122883754,9127,5747,84.575,1.042,0.009,0.037,0.254,0.007,0.047,0.002,0.003,0.001,0.35,0.483,0.978
TIC 124181228,6310,5148,83.96,0.42,0.095,0.06,0.202,0.004,0.072,0.002,0.004,0.001,0.348,0.351,0.989
TIC 125857387,6371,6331,89.701,0.391,0.105,0.16,0.345,0.013,0.165,0.009,0,0.001,0.601,0.786,0.955
TIC 126137581,7662,3809,83.288,1.856,0.321,0.053,0.296,0.012,0.097,0.005,0.012,0.016,0.617,0.341,0.997
TIC 12631605,5430,3542,83.44,2.314,0.313,0.131,0.292,0.012,0.131,0.006,0.007,0.007,0.607,0.459,0.977
TIC 126325291,5384,3821,89.884,0.129,0.108,0.038,0.239,0.001,0.156,0.001,0.005,0.002,0.418,0.739,0.987
TIC 126945917,7472,5296,87.311,0.165,0.484,0.012,0.322,0.001,0.197,0,0.001,0,0.727,0.621,0.991
TIC 126997753,6161,3529,81.768,2.369,0.175,0.049,0.24,0.028,0.053,0.007,0.01,0.002,0.451,0.218,0.981
TIC 137503140,5717,3522,79.036,1.149,0.183,0.031,0.167,0.008,0.14,0.017,0.323,0.003,0.316,0.568,0.98
TIC 139825840,5953,5537,83.348,2.484,0.434,0.103,0.189,0.018,0.042,0.006,0.001,0.003,0.418,0.136,0.983
TIC 141622065,6418,6258,83.216,0.466,0.025,0.025,0.239,0.003,0.108,0.002,0.003,0.001,0.355,0.797,0.997
TIC 14207118,6555,4513,78.21,1.256,0.398,0.05,0.306,0.013,0.073,0.004,0.006,0.002,0.665,0.241,0.98
TIC 142096904,5994,4516,83.361,2.262,0.239,0.049,0.318,0.011,0.162,0.011,0.001,0.001,0.629,0.613,0.994
TIC 142677613,8155,4468,89.012,0.982,0.319,0.057,0.09,0.006,0.037,0.002,0,0.002,0.188,0.128,0.991
TIC 144475181,6618,6251,89.7,0.225,0.574,0.021,0.232,0.001,0.18,0,0,0,0.543,0.542,0.99
TIC 154453116,7558,4391,84.563,0.689,0.321,0.148,0.182,0.008,0.062,0.003,0.002,0.003,0.379,0.218,0.988
TIC 155479809,6462,3718,75.949,0.404,0.214,0.067,0.202,0.004,0.153,0.008,0.002,0.001,0.392,0.598,0.981
TIC 156376126,5024,3622,84.844,0.811,0.533,0.026,0.417,0.003,0.212,0.002,0.008,0.001,0.961,0.649,0.967
TIC 157889314,7329,5583,85.371,0.96,0.571,0.066,0.28,0.005,0.132,0.003,0.002,0.001,0.653,0.398,0.992
TIC 158113583,6958,4099,80.31,0.571,0.323,0.038,0.262,0.004,0.099,0.004,0.003,0.002,0.548,0.344,0.982
TIC 158393140,6375,3847,84.423,1.142,0.367,0.029,0.334,0.006,0.109,0.002,0.005,0.002,0.713,0.367,0.984
TIC 15893141,8481,3838,89.122,0.214,0.388,0.094,0.122,0.001,0.046,0,0.005,0.003,0.264,0.155,0.989
TIC 159069051,6572,4391,86.976,2.649,0.152,0.032,0.137,0.006,0.064,0.018,0.003,0.001,0.252,0.273,0.988
TIC 160065970,5759,3736,80.123,0.433,0.045,0.023,0.207,0.003,0.126,0.005,0.004,0.001,0.324,0.778,0.993
TIC 160228595,5956,4102,87.318,0.503,0.159,0.091,0.159,0.003,0.086,0.002,0.002,0.002,0.295,0.363,0.998
TIC 162694809,6574,4417,89.17,0.994,0.158,0.031,0.203,0.004,0.1,0.003,0.002,0.002,0.376,0.423,0.996
TIC 163008999,5990,5024,83.142,2.088,0.451,0.102,0.316,0.008,0.133,0.004,0.001,0.005,0.704,0.425,0.978
TIC 164544018,6223,4447,85.589,0.849,0.104,0.074,0.12,0.006,0.035,0.005,0.002,0.002,0.208,0.168,0.989
TIC 164557531,6425,5185,83.982,1.041,0.161,0.049,0.2,0.001,0.102,0.009,0,0,0.371,0.43,0.987
TIC 164674992,6053,4458,81.807,1.038,0.49,0.026,0.27,0.006,0.085,0.002,0.002,0.004,0.611,0.266,0.995
TIC 165371937,8171,6323,88.355,1.298,0.145,0.006,0.31,0.003,0.081,0.001,0,0.001,0.565,0.353,0.99
