name,T1,T2,incl,inclerror,q,qerror,r1,r1error,r2,r2error,f1,f2,R2
TIC 1021067547,8732,4029,84.6886,0.489,0.3112,0.0598,0.1191,0.0024,0.0639,0.0059,0.2469,0.2252,0.9934
TIC 10800647,7144,6509,88.4571,0.7181,0.4211,0.0467,0.3242,0.0016,0.1866,0.0013,0.712,0.6077,0.9995
TIC 115288764,6799,4152,84.9036,0.3766,0.2999,0.0083,0.3121,0.0016,0.1091,0.0007,0.643,0.3884,0.9988
TIC 115443990,7397,4896,85.2241,0.1958,0.1782,0.0045,0.3986,0.0006,0.227,0.0005,0.7512,0.9309,0.9998
TIC 116417661,6312,3784,85.2861,0.6851,0.073,0.0398,0.1895,0.0053,0.0722,0.0024,0.3146,0.3829,0.9992
TIC 116729038,8033,4972,78.9422,0.2665,0.0203,0.0022,0.2885,0.0022,0.0829,0.0019,0.4207,0.65,0.9975
TIC 119067714,6513,4377,82.9088,0.5237,0.3391,0.0416,0.2001,0.0049,0.0515,0.0016,0.4218,0.1774,0.9966
TIC 121078334,7298,5769,89.9048,0.1233,0.1432,0.0043,0.3176,0.001,0.0763,0.0003,0.5785,0.333,0.9891
TIC 121455954,6228,6027,86.8951,0.2056,0.4687,0.0055,0.2999,0.0007,0.1031,0.0003,0.6728,0.3266,0.9985
TIC 122883754,9126,6119,85.5972,0.5563,0.0083,0.002,0.2451,0.0034,0.0441,0.0007,0.3368,0.4577,0.9884
TIC 124181228,6310,5083,86.2379,0.3838,0.3424,0.0468,0.1806,0.0026,0.063,0.0011,0.3813,0.2163,0.9949
TIC 125857387,6370,6412,88.9263,0.0881,0.7955,0.0043,0.3141,0.0003,0.1391,0.0002,0.7875,0.3871,0.9912
TIC 126137581,7662,4037,83.6306,0.2872,0.3343,0.0071,0.2919,0.0018,0.0941,0.0007,0.6135,0.3255,0.9995
TIC 12631605,5429,3386,85.9941,0.3677,0.5549,0.0288,0.2762,0.0022,0.1201,0.0012,0.6413,0.3647,0.9991
TIC 126325291,5383,3749,89.8479,0.1007,0.0574,0.001,0.2397,0.0004,0.159,0.0002,0.3865,0.9063,0.9979
TIC 126997753,6160,3471,86.9051,0.59,0.3248,0.0135,0.1991,0.0023,0.043,0.0007,0.4162,0.1499,0.9975
TIC 137503140,5717,3448,79.2142,0.1624,0.206,0.0167,0.1894,0.0013,0.123,0.0011,0.3654,0.4845,0.9885
TIC 139825840,5953,5486,81.8532,0.0396,0.1927,0.0037,0.2117,0.0005,0.0483,0.0001,0.4041,0.1937,0.9988
TIC 141622065,6417,6095,84.3716,0.3354,0.0207,0.0018,0.2307,0.0036,0.1054,0.0016,0.337,0.8208,0.9991
TIC 14207118,6554,4518,81.8544,0.493,0.6997,0.0407,0.2631,0.005,0.0599,0.0011,0.6415,0.172,0.999
TIC 142096904,5993,4485,85.3833,0.4009,0.268,0.0288,0.3053,0.0024,0.1549,0.0015,0.6164,0.5679,0.9966
