name,T1,T2,incl,q,r1,r2,ecc,R2
LC-0A0P,11306.38295,10893.33174,84.02721762,0.280329046,0.291477069,0.092613722,0.037123231,0.9991
LC-0HXK,5567.220843,3727.970471,81.41217233,0.387526819,0.294301749,0.082896949,0.04941441,0.9985
LC-0K0W,10254.93925,5292.583396,84.99350604,0.462985106,0.313586911,0.104115892,0.090750133,0.9995
LC-0N8S,10622.52553,10627.24361,84.6303983,0.442207558,0.302289613,0.136600626,0.027465763,0.9999
LC-0NBS,12351.26527,9884.52307,81.23376221,0.707044825,0.29445756,0.090258539,0.005955109,0.9995
LC-0RB5,5630.054367,3989.758501,76.57698242,0.180679516,0.457902983,0.127679365,0.057055738,0.9988
LC-0WSR,7625.626511,6048.311854,84.13412699,0.271294835,0.4423328,0.139840579,0.078263041,0.9995
LC-0ZMR,10508.44167,7159.652327,88.55255252,0.590004607,0.347108108,0.233091429,0.015041955,0.9998
LC-1DUG,7117.946442,4153.756465,81.82806685,0.173130612,0.34420232,0.151545399,0.12168786,0.9992
LC-1E85,11669.30547,11978.90357,79.85607988,0.603242574,0.311389611,0.101662825,0.034581455,0.9995
LC-1NA0,11584.0106,6968.157083,83.5379615,0.359013567,0.399565178,0.172822592,0.062011456,0.9995
LC-1P3W,10694.06624,5267.346464,86.40558518,0.032384605,0.227517714,0.079348948,0.140229774,0.999
LC-1U9D,7392.472879,8353.83872,79.45615601,0.318503754,0.321099022,0.059022605,0.093265631,0.9965
LC-1Z27,5214.460807,5688.022258,79.54567015,0.749025154,0.377940516,0.148989635,0.018635282,0.9995
LC-236X,11764.12939,7038.139882,87.82416083,0.487078922,0.318356877,0.192350246,0.181162264,0.9996
LC-275P,4831.75742,4050.285818,86.81240882,0.055310649,0.329894003,0.076571815,0.150663549,0.9952
LC-2822,5303.360642,6249.291456,86.88633328,0.185069393,0.362371223,0.189556501,0.049297399,0.9997
LC-2FDU,3742.982783,4293.547491,81.54157393,0.064898132,0.506716229,0.125987291,0.134526799,0.9977
LC-2FHR,12104.07984,9564.929686,88.1514814,0.374323456,0.364064684,0.156194128,0.118103916,0.9995
LC-2G0D,7148.896064,6140.092698,84.5202079,0.084323285,0.451890775,0.144905177,0.014388331,0.9993
LC-2HE1,12006.25124,9967.345737,79.44144469,0.235828449,0.398358903,0.092980098,0.017233416,0.9991
LC-2TAE,10088.88382,10335.75492,88.18148974,0.092320014,0.252906268,0.086124512,0.06127909,0.9994
LC-2UME,6215.046488,7192.225522,84.33982763,0.216217962,0.401953856,0.15195272,0.05247131,0.9995
LC-308U,9312.661316,3894.872556,89.85981568,0.403372259,0.176455176,0.049798455,0.008218247,0.9976
LC-30GG,4934.038,4992.907794,85.22003941,0.316508839,0.429380194,0.087296111,0.110152178,0.9985
LC-37WC,7909.941582,6961.061951,81.12376436,0.638712207,0.367205402,0.08904697,0.018232945,0.9993
LC-3GYA,7619.586869,5187.660277,76.85957111,0.157803128,0.396170477,0.075161663,0.026582325,0.9976
LC-3LG4,6530.975286,4590.516721,81.7494207,0.552859997,0.325104864,0.084574737,0.134924282,0.9989
LC-3PQ8,10082.22061,7181.974676,84.00580015,0.110462658,0.378144817,0.167158127,0.028307773,0.9996
LC-3PVI,8686.774124,6032.744053,86.622519,0.557820429,0.284382971,0.141323108,0.005919676,0.9995
LC-3QSX,6063.92446,4627.004394,75.91692843,0.238773087,0.380503448,0.095958071,0.137866967,0.9986
LC-5CQW,9751.705539,8305.350394,89.86294884,0.004470293,0.454045995,0.09134122,0.059747761,0.9972
LC-5ET1,8892.92108,5854.796822,85.85878596,0.306365567,0.288374856,0.154917945,0.023242635,0.9992
LC-5J8A,4922.59076,4259.688415,83.14781301,0.021283155,0.325787117,0.151812306,0.063932246,0.9993
