name,incl,q,r1,r2,ecc,T2/T1,R2
LC-0A0P,84.02721762,0.280329046,0.291477069,0.092613722,0.037123231,0.963467431,0.9991
LC-0HXK,81.41217233,0.387526819,0.294301749,0.082896949,0.04941441,0.669628631,0.9985
LC-0K0W,84.99350604,0.462985106,0.313586911,0.104115892,0.090750133,0.516100902,0.9995
LC-0N8S,84.6303983,0.442207558,0.302289613,0.136600626,0.027465763,1.000444158,0.9999
LC-0NBS,81.23376221,0.707044825,0.29445756,0.090258539,0.005955109,0.800284251,0.9995
LC-0RB5,76.57698242,0.180679516,0.457902983,0.127679365,0.057055738,0.708653637,0.9988
LC-0WSR,84.13412699,0.271294835,0.4423328,0.139840579,0.078263041,0.793156057,0.9995
LC-0ZMR,88.55255252,0.590004607,0.347108108,0.233091429,0.015041955,0.681323887,0.9998
LC-1DUG,81.82806685,0.173130612,0.34420232,0.151545399,0.12168786,0.583561073,0.9992
LC-1E85,79.85607988,0.603242574,0.311389611,0.101662825,0.034581455,1.026530979,0.9995
LC-1NA0,83.5379615,0.359013567,0.399565178,0.172822592,0.062011456,0.601532347,0.9995
LC-1P3W,86.40558518,0.032384605,0.227517714,0.079348948,0.140229774,0.492548517,0.999
LC-1U9D,79.45615601,0.318503754,0.321099022,0.059022605,0.093265631,1.130046583,0.9965
LC-1Z27,79.54567015,0.749025154,0.377940516,0.148989635,0.018635282,1.090816955,0.9995
LC-236X,87.82416083,0.487078922,0.318356877,0.192350246,0.181162264,0.598271206,0.9996
LC-275P,86.81240882,0.055310649,0.329894003,0.076571815,0.150663549,0.838263486,0.9952
LC-2822,86.88633328,0.185069393,0.362371223,0.189556501,0.049297399,1.178364414,0.9997
LC-2FDU,81.54157393,0.064898132,0.506716229,0.125987291,0.134526799,1.147092503,0.9977
LC-2FHR,88.1514814,0.374323456,0.364064684,0.156194128,0.118103916,0.790223612,0.9995
LC-2G0D,84.5202079,0.084323285,0.451890775,0.144905177,0.014388331,0.858886833,0.9993
LC-2HE1,79.44144469,0.235828449,0.398358903,0.092980098,0.017233416,0.830179674,0.9991
LC-2TAE,88.18148974,0.092320014,0.252906268,0.086124512,0.06127909,1.024469615,0.9994
LC-2UME,84.33982763,0.216217962,0.401953856,0.15195272,0.05247131,1.157227952,0.9995
LC-308U,89.85981568,0.403372259,0.176455176,0.049798455,0.008218247,0.418234103,0.9976
LC-30GG,85.22003941,0.316508839,0.429380194,0.087296111,0.110152178,1.011931362,0.9985
LC-37WC,81.12376436,0.638712207,0.367205402,0.08904697,0.018232945,0.880039616,0.9993
LC-3GYA,76.85957111,0.157803128,0.396170477,0.075161663,0.026582325,0.680832224,0.9976
LC-3LG4,81.7494207,0.552859997,0.325104864,0.084574737,0.134924282,0.702883799,0.9989
